gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.163265,0.122449,0.020000,0.020000,0.0,0.052593
0.183673,0.122449,0.020000,0.020000,0.0,0.062590
0.204082,0.122449,0.020000,0.020000,0.0,0.077076
0.224490,0.122449,0.020000,0.020000,0.0,0.098445
0.244898,0.122449,0.020000,0.020000,0.0,0.138015
0.265306,0.122449,0.020000,0.020000,0.0,0.166184
0.285714,0.122449,0.020000,0.020000,0.0,0.166184
0.306122,0.122449,0.020000,0.020000,0.0,0.166184
0.326531,0.122449,0.020000,0.020000,0.0,0.166184
0.346939,0.122449,0.020000,0.020000,0.0,0.166184
0.367347,0.122449,0.020000,0.020000,0.0,0.166184
0.387755,0.122449,0.020000,0.020000,0.0,0.166184
0.408163,0.122449,0.020000,0.020000,0.0,0.166184
0.428571,0.122449,0.020000,0.020000,0.0,0.166184
0.448980,0.122449,0.020000,0.020000,0.0,0.166184
0.469388,0.122449,0.020000,0.020000,0.0,0.166184
0.489796,0.122449,0.020000,0.020000,0.0,0.166184
0.510204,0.122449,0.020000,0.020000,0.0,0.166184
0.530612,0.122449,0.020000,0.020000,0.0,0.166184
0.551020,0.122449,0.020000,0.020000,0.0,0.166184
0.571429,0.122449,0.020000,0.020000,0.0,0.166184
0.591837,0.122449,0.020000,0.020000,0.0,0.166184
0.612245,0.122449,0.020000,0.020000,0.0,0.166184
0.632653,0.122449,0.020000,0.020000,0.0,0.166184
0.653061,0.122449,0.020000,0.020000,0.0,0.166184
0.673469,0.122449,0.020000,0.020000,0.0,0.166184
0.693878,0.122449,0.020000,0.020000,0.0,0.166184
0.714286,0.122449,0.020000,0.020000,0.0,0.166184
0.734694,0.122449,0.020000,0.020000,0.0,0.166184
0.755102,0.122449,0.020000,0.020000,0.0,0.166184
0.775510,0.122449,0.020000,0.020000,0.0,0.166184
0.795918,0.122449,0.020000,0.020000,0.0,0.166184
0.816327,0.122449,0.020000,0.020000,0.0,0.166184
0.836735,0.122449,0.020000,0.020000,0.0,0.166184
0.857143,0.122449,0.020000,0.020000,0.0,0.166184
0.877551,0.122449,0.020000,0.020000,0.0,0.166184
0.897959,0.122449,0.020000,0.020000,0.0,0.166184
0.918367,0.122449,0.020000,0.020000,0.0,0.166184
0.938776,0.122449,0.020000,0.020000,0.0,0.166184
0.959184,0.122449,0.020000,0.020000,0.0,0.166184
0.979592,0.122449,0.020000,0.020000,0.0,0.166184
1.000000,0.122449,0.020000,0.020000,0.0,0.166184
0.000000,0.142857,0.020000,0.020000,0.0,0.078416
0.020408,0.142857,0.020000,0.020000,0.0,0.072505
0.040816,0.142857,0.020000,0.020000,0.0,0.068124
0.061224,0.142857,0.020000,0.020000,0.0,0.065473
0.081633,0.142857,0.020000,0.020000,0.0,0.064757
0.102041,0.142857,0.020000,0.020000,0.0,0.066249
0.122449,0.142857,0.020000,0.020000,0.0,0.070380
0.142857,0.142857,0.020000,0.020000,0.0,0.077900
0.163265,0.142857,0.020000,0.020000,0.0,0.090277
0.183673,0.142857,0.020000,0.020000,0.0,0.111200
0.204082,0.142857,0.020000,0.020000,0.0,0.164065
0.224490,0.142857,0.020000,0.020000,0.0,0.166184
0.244898,0.142857,0.020000,0.020000,0.0,0.166184
0.265306,0.142857,0.020000,0.020000,0.0,0.166184
0.285714,0.142857,0.020000,0.020000,0.0,0.166184
0.306122,0.142857,0.020000,0.020000,0.0,0.166184
0.326531,0.142857,0.020000,0.020000,0.0,0.166184
0.346939,0.142857,0.020000,0.020000,0.0,0.166184
